location,date,total_cases,new_cases_smoothed,total_cases_per_million,new_cases_smoothed_per_million,reproduction_rate,positive_rate,tests_per_case,new_deaths_smoothed
Ecuador,29/10/2021,515859,253.143,28837.507,14.151,0.68,0.096,10.4,3
Ecuador,30/10/2021,515859,253.143,28837.507,14.151,0.68,0.097,10.3,3
Ecuador,31/10/2021,515859,36.143,28837.507,2.02,0.67,0.013,76.8,0.857
Ecuador,1/11/2021,515859,28.571,28837.507,1.597,0.67,0.01,101.6,0.714
Ecuador,2/11/2021,515859,28.571,28837.507,1.597,0.66,0.011,91.6,0.714
Ecuador,3/11/2021,515859,0,28837.507,0,0.67,0,91.6,0
Ecuador,4/11/2021,518274,345,28972.51,19.286,0.67,0.155,6.4,3.571
Equatorial Guinea,6/10/2021,12532,45.429,8643.408,31.332,1.02,0.062,16.2,0.571
Equatorial Guinea,7/10/2021,12657,42.143,8729.622,29.066,1.01,0.071,14.2,1
Equatorial Guinea,8/10/2021,12657,42.143,8729.622,29.066,1,0.069,14.6,1
Equatorial Guinea,9/10/2021,12657,42.143,8729.622,29.066,1,0.064,15.6,1
Equatorial Guinea,10/10/2021,12657,42.143,8729.622,29.066,0.99,0.06,16.7,1
Equatorial Guinea,11/10/2021,12786,36.286,8818.594,25.027,0.99,0.049,20.6,0.714
Equatorial Guinea,12/10/2021,12786,36.286,8818.594,25.027,0.98,0.051,19.7,0.714
Equatorial Guinea,13/10/2021,12840,44,8855.838,30.347,0.98,0.065,15.5,0.857
Equatorial Guinea,14/10/2021,12840,26.143,8855.838,18.031,0.97,0.04,24.8,0.286
Equatorial Guinea,15/10/2021,12840,26.143,8855.838,18.031,0.97,0.04,24.9,0.286
Equatorial Guinea,16/10/2021,12840,26.143,8855.838,18.031,0.97,0.042,23.9,0.286
Equatorial Guinea,17/10/2021,12840,26.143,8855.838,18.031,0.97,0.043,23,0.286
Equatorial Guinea,18/10/2021,13020,33.429,8979.985,23.056,0.98,0.058,17.2,0.857
Equatorial Guinea,19/10/2021,13020,33.429,8979.985,23.056,0.97,0.055,18.2,0.857
Equatorial Guinea,20/10/2021,13097,36.714,9033.093,25.322,0.96,0.048,20.8,1
Equatorial Guinea,21/10/2021,13097,36.714,9033.093,25.322,0.95,0.048,20.8,1
Equatorial Guinea,22/10/2021,13097,36.714,9033.093,25.322,0.94,0.05,19.9,1
Equatorial Guinea,23/10/2021,13166,46.571,9080.683,32.121,0.94,0.067,15,1
Equatorial Guinea,24/10/2021,13166,46.571,9080.683,32.121,0.93,0.07,14.3,1
Equatorial Guinea,25/10/2021,13166,20.857,9080.683,14.385,0.93,0.033,30.3,0.286
Equatorial Guinea,26/10/2021,13236,30.857,9128.962,21.282,0.92,0.052,19.4,0.286
Equatorial Guinea,27/10/2021,13236,19.857,9128.962,13.696,0.92,0.044,22.5,0
Equatorial Guinea,28/10/2021,13236,19.857,9128.962,13.696,0.91,0.035,28.3,0
Equatorial Guinea,29/10/2021,13304,29.571,9175.862,20.396,0.91,0.044,22.9,0.429
Equatorial Guinea,30/10/2021,13368,28.857,9220.003,19.903,0.91,0.043,23.4,0.571
Equatorial Guinea,31/10/2021,13368,28.857,9220.003,19.903,0.9,0.043,23.4,0.571
Equatorial Guinea,1/11/2021,13368,28.857,9220.003,19.903,0.89,0.043,23.3,0.571
Equatorial Guinea,2/11/2021,13377,20.143,9226.211,13.893,0.88,0.032,31.1,0.571
Equatorial Guinea,3/11/2021,13377,20.143,9226.211,13.893,0.88,0.035,28.9,0.571
Equatorial Guinea,4/11/2021,13407,24.429,9246.902,16.849,0.88,0.038,26.4,0.714
Estonia,6/10/2021,160832,766.143,121365.421,578.139,1.24,0.134,7.4,4.429
Estonia,7/10/2021,161781,789.143,122081.546,595.495,1.24,0.136,7.4,4.286
Estonia,8/10/2021,162735,821.286,122801.444,619.75,1.24,0.136,7.3,4.857
Estonia,9/10/2021,163803,867.857,123607.367,654.894,1.25,0.14,7.2,4.857
Estonia,10/10/2021,164618,894.429,124222.374,674.945,1.24,0.143,7,4.429
Estonia,11/10/2021,165345,921.429,124770.976,695.319,1.24,0.143,7,4.286
Estonia,12/10/2021,166601,973.429,125718.766,734.559,1.24,0.15,6.7,3.286
Estonia,13/10/2021,167828,999.429,126644.672,754.179,1.23,0.152,6.6,3
Estonia,14/10/2021,168884,1014.714,127441.54,765.713,1.22,0.152,6.6,3.143
Estonia,15/10/2021,170159,1060.571,128403.668,800.318,1.22,0.157,6.4,3.429
Estonia,16/10/2021,171395,1084.571,129336.366,818.428,1.22,0.156,6.4,4
Estonia,17/10/2021,172514,1128,130180.774,851.2,1.21,0.159,6.3,4.571
Estonia,18/10/2021,173335,1141.429,130800.309,861.333,1.2,0.16,6.2,4.143
Estonia,19/10/2021,174436,1119.286,131631.135,844.624,1.2,0.153,6.5,4.714
Estonia,20/10/2021,175782,1136.286,132646.84,857.452,1.2,0.15,6.7,4.857
Estonia,21/10/2021,177287,1200.429,133782.527,905.855,1.21,0.156,6.4,5
Estonia,22/10/2021,178610,1207.286,134780.876,911.03,1.22,0.155,6.4,4.857
Estonia,23/10/2021,180252,1265.286,136019.946,954.797,1.23,0.156,6.4,4.571
Estonia,24/10/2021,182039,1360.714,137368.434,1026.808,1.23,0.164,6.1,5
Estonia,25/10/2021,183320,1426.429,138335.089,1076.397,1.22,0.172,5.8,5.714
Estonia,26/10/2021,184509,1439,139232.32,1085.884,1.2,0.169,5.9,6
Estonia,27/10/2021,186530,1535.429,140757.387,1158.65,1.19,0.18,5.6,6.429
Estonia,28/10/2021,188522,1605,142260.57,1211.149,1.18,0.191,5.2,6.714
Estonia,29/10/2021,190201,1655.857,143527.56,1249.526,1.16,0.197,5.1,7.571
Estonia,30/10/2021,192092,1691.429,144954.527,1276.369,1.15,0.207,4.8,8.857
Estonia,31/10/2021,193969,1704.286,146370.93,1286.071,1.13,0.207,4.8,10
Estonia,1/11/2021,195382,1723.143,147437.194,1300.301,1.1,0.209,4.8,10.143
Estonia,2/11/2021,196951,1777.429,148621.177,1341.265,1.07,0.216,4.6,10.429
Estonia,3/11/2021,199251,1817.286,150356.78,1371.342,1.04,0.221,4.5,11.429
Estonia,4/11/2021,201194,1810.286,151822.987,1366.06,1,0.219,4.6,11.857
Finland,6/10/2021,144665,539.429,26073.466,97.223,1.12,0.046,21.7,2.429
Finland,7/10/2021,145354,543.143,26197.646,97.892,1.12,0.046,21.8,1.857
Finland,8/10/2021,145679,509.286,26256.222,91.79,1.12,0.042,23.5,2.571
Finland,9/10/2021,145679,509.286,26256.222,91.79,1.13,0.043,23.3,2.571
Finland,10/10/2021,145679,509.286,26256.222,91.79,1.13,0.044,22.9,2.571
Finland,11/10/2021,147297,554.429,26547.84,99.927,1.15,0.047,21.2,2.286
Finland,12/10/2021,147919,560,26659.945,100.931,1.14,0.048,20.9,3.571
Finland,13/10/2021,148672,572.429,26795.661,103.171,1.13,0.049,20.5,3.143
Finland,14/10/2021,149174,545.714,26886.138,98.356,1.12,0.046,21.7,2.857
Finland,15/10/2021,149897,602.571,27016.447,108.604,1.12,0.051,19.7,2.857
Finland,16/10/2021,149897,602.571,27016.447,108.604,1.12,0.051,19.6,2.857
Finland,17/10/2021,149897,602.571,27016.447,108.604,1.11,0.051,19.7,2.857
Finland,18/10/2021,151207,558.571,27252.553,100.673,1.11,0.047,21.3,2.857
Finland,19/10/2021,151787,552.571,27357.088,99.592,1.11,0.048,21,2.714
Finland,20/10/2021,152099,489.571,27413.321,88.237,1.11,0.042,23.6,3.143
Finland,21/10/2021,152707,504.714,27522.903,90.966,1.12,0.044,22.6,3.286
Finland,22/10/2021,153156,465.571,27603.828,83.912,1.13,0.041,24.1,3.286
Finland,23/10/2021,153156,465.571,27603.828,83.912,1.14,0.042,23.8,3.286
Finland,24/10/2021,153156,465.571,27603.828,83.912,1.16,0.042,23.8,3.286
Finland,25/10/2021,154888,525.857,27915.992,94.777,1.17,0.048,21,4.286
Finland,26/10/2021,155547,537.143,28034.766,96.811,1.17,0.048,20.8,3
Finland,27/10/2021,156286,598.143,28167.958,107.805,1.17,0.053,19,2.429
Finland,28/10/2021,156959,607.429,28289.255,109.479,1.17,0.054,18.7,2.714
Finland,29/10/2021,157531,625,28392.349,112.646,1.17,0.055,18.3,2.714
Finland,30/10/2021,157531,625,28392.349,112.646,1.18,0.054,18.4,2.714
Finland,31/10/2021,157531,625,28392.349,112.646,1.18,0.054,18.4,2.714
Finland,1/11/2021,158991,586.143,28655.489,105.643,1.19,0.051,19.7,2.857
Finland,2/11/2021,159798,607.286,28800.938,109.453,1.2,0.052,19.1,3.429
Finland,3/11/2021,160948,666,29008.206,120.035,1.2,0.057,17.7,3.714
Finland,4/11/2021,161688,675.571,29141.579,121.761,1.2,0.056,17.8,4.286
France,6/10/2021,7137177,5229.286,105635.405,77.397,0.91,0.01,100,56.143
France,7/10/2021,7142387,5194.143,105712.517,76.877,0.91,0.01,100,53.143
France,8/10/2021,7147186,5147.429,105783.545,76.186,0.91,0.01,100,51.429
France,9/10/2021,7152009,5084.857,105854.929,75.26,0.92,0.01,100,48.143
France,10/10/2021,7156066,5121.714,105914.976,75.805,0.93,0.01,100,47.429
France,11/10/2021,7157206,5099.857,105931.848,75.482,0.94,0.01,100,44.143
France,12/10/2021,7163317,5123.286,106022.296,75.828,0.95,0.011,90.9,42.714
France,13/10/2021,7164924,3963.857,106046.08,58.668,0.96,0.011,90.9,40
France,14/10/2021,7174580,4599,106188.996,68.069,0.99,0.011,90.9,37.857
France,15/10/2021,7180773,4798.143,106280.657,71.016,1,0.012,83.3,36.857
France,16/10/2021,7185744,4819.286,106354.232,71.329,1,0.012,83.3,36.857
France,17/10/2021,7189566,4785.714,106410.8,70.832,1.01,0.012,83.3,36.571
France,18/10/2021,7190716,4787.143,106427.821,70.853,1.02,0.013,76.9,38
France,19/10/2021,7196754,4776.714,106517.188,70.699,1.03,0.013,76.9,35
France,20/10/2021,7202840,5416.571,106607.265,80.169,1.04,0.014,71.4,31.429
France,21/10/2021,7209126,4935.143,106700.302,73.044,1.05,0.017,58.8,32.571
France,22/10/2021,7215584,4973,106795.885,73.604,1.06,0.018,55.6,31.429
France,23/10/2021,7221941,5171,106889.974,76.535,1.07,0.018,55.6,31.857
France,24/10/2021,7226974,5344,106964.466,79.095,1.08,0.018,55.6,31.714
France,25/10/2021,7228331,5373.571,106984.55,79.533,1.09,0.018,55.6,31.429
France,26/10/2021,7235100,5478,107084.736,81.078,1.1,0.019,52.6,31.143
France,27/10/2021,7242180,5620,107189.525,83.18,1.1,0.019,52.6,32.857
France,28/10/2021,7248285,5594.143,107279.884,82.797,1.11,0.02,50,31.714
France,29/10/2021,7254779,5599.286,107376,82.873,1.12,0.021,47.6,31
France,30/10/2021,7262178,5748.143,107485.51,85.077,1.14,0.022,45.5,30.857
France,31/10/2021,7268527,5936.143,107579.48,87.859,1.15,0.022,45.5,31.429
France,1/11/2021,7270410,6011.286,107607.35,88.971,1.16,0.022,45.5,25.714
France,2/11/2021,7272516,5345.143,107638.52,79.112,1.17,0.024,41.7,32.857
France,3/11/2021,7282823,5806.143,107791.071,85.935,1.2,0.026,38.5,32.571
France,4/11/2021,7292220,6276.429,107930.154,92.896,1.22,0.028,35.7,34.714
Gabon,6/10/2021,31584,295.571,13859.75,129.703,1.22,0.162,6.2,2
Gabon,7/10/2021,31584,204.143,13859.75,89.582,1.22,0.112,8.9,1.571
Gabon,8/10/2021,31584,133.714,13859.75,58.677,1.21,0.073,13.6,1
Gabon,9/10/2021,32135,212.429,14101.541,93.218,1.2,0.117,8.6,1.571
Gabon,10/10/2021,32135,212.429,14101.541,93.218,1.2,0.117,8.6,1.571
Gabon,11/10/2021,32576,216.857,14295.061,95.162,1.19,0.119,8.4,1.571
Gabon,12/10/2021,32576,216.857,14295.061,95.162,1.18,0.119,8.4,1.571
Gabon,13/10/2021,32576,141.714,14295.061,62.187,1.17,0.078,12.9,1.143
Gabon,14/10/2021,33115,218.714,14531.586,95.977,1.17,0.042,24,1.714
Gabon,15/10/2021,33442,265.429,14675.081,116.476,1.16,0.031,32.8,2.286
Gabon,16/10/2021,33442,186.714,14675.081,81.934,1.15,0.021,47.7,1.714
Gabon,17/10/2021,33442,186.714,14675.081,81.934,1.14,0.021,48.7,1.714
Gabon,18/10/2021,33842,180.857,14850.61,79.364,1.14,0.019,51.4,1.857
Gabon,19/10/2021,33842,180.857,14850.61,79.364,1.13,0.019,52.6,1.857
Gabon,20/10/2021,34281,243.571,15043.252,106.884,1.12,0.025,39.9,2
Gabon,21/10/2021,34281,166.571,15043.252,73.095,1.12,0.026,39,1.429
Gabon,22/10/2021,34601,165.571,15183.675,72.656,1.11,0.05,19.9,1.571
Gabon,23/10/2021,34601,165.571,15183.675,72.656,1.11,0.05,20,1.571
Gabon,24/10/2021,34601,165.571,15183.675,72.656,1.1,0.05,20.1,1.571
Gabon,25/10/2021,34898,150.857,15314.006,66.199,1.1,0.045,22.3,1.714
Gabon,26/10/2021,34898,150.857,15314.006,66.199,1.09,0.04,24.9,1.714
Gabon,27/10/2021,35252,138.714,15469.349,60.871,1.09,0.038,26.4,2.286
Gabon,28/10/2021,35252,138.714,15469.349,60.871,1.08,0.039,25.5,2.286
Gabon,29/10/2021,35525,132,15589.147,57.924,1.08,0.038,26,2.143
Gabon,30/10/2021,35525,132,15589.147,57.924,1.08,0.04,25.1,2.143
Gabon,31/10/2021,35525,132,15589.147,57.924,1.07,0.041,24.2,2.143
Gabon,1/11/2021,35525,89.571,15589.147,39.306,1.07,0.029,34.5,1.286
Gabon,2/11/2021,35841,134.714,15727.815,59.116,1.07,0.052,19.3,2
Gabon,3/11/2021,36020,109.714,15806.364,48.145,1.07,0.042,23.7,2
Gabon,4/11/2021,36020,109.714,15806.364,48.145,1.07,0.035,28.2,2
Gambia,6/10/2021,9939,0.714,3996.482,0.287,0.58,0.002,425.8,0
Gambia,7/10/2021,9939,0.714,3996.482,0.287,0.58,0.002,439.8,0
Gambia,8/10/2021,9939,0.571,3996.482,0.23,0.58,0.002,521.9,0
Gambia,9/10/2021,9939,0.571,3996.482,0.23,0.58,0.002,478.1,0
Gambia,10/10/2021,9941,0.857,3997.287,0.345,0.58,0.004,270.7,0.143
Gambia,11/10/2021,9941,0.857,3997.287,0.345,0.58,0.004,259,0.143
Gambia,12/10/2021,9943,1.143,3998.091,0.46,0.58,0.005,185.5,0.143
Gambia,13/10/2021,9943,0.571,3998.091,0.23,0.58,0.003,378.3,0.143
Gambia,14/10/2021,9943,0.571,3998.091,0.23,0.59,0.003,374.8,0.143
Gambia,15/10/2021,9946,1,3999.297,0.402,0.59,0.005,212,0.143
Gambia,16/10/2021,9946,1,3999.297,0.402,0.59,0.005,211,0.143
Gambia,17/10/2021,9946,0.714,3999.297,0.287,0.59,0.003,315.1,0
Gambia,18/10/2021,9946,0.714,3999.297,0.287,0.59,0.003,313.7,0
Gambia,19/10/2021,9946,0.429,3999.297,0.172,0.59,0.002,522.1,0
Gambia,20/10/2021,9946,0.429,3999.297,0.172,0.59,0.002,508.2,0
Gambia,21/10/2021,9946,0.429,3999.297,0.172,0.6,0.002,491.8,0
Gambia,22/10/2021,9956,1.429,4003.318,0.574,0.6,0.007,151.2,0
Gambia,23/10/2021,9956,1.429,4003.318,0.574,0.61,0.007,146.3,0
Gambia,24/10/2021,9956,1.429,4003.318,0.574,0.62,0.007,142.1,0
Gambia,25/10/2021,9956,1.429,4003.318,0.574,0.63,0.007,147.7,0
Gambia,26/10/2021,9959,1.857,4004.524,0.747,0.63,0.009,113.6,0.143
Gambia,27/10/2021,9963,2.429,4006.133,0.977,0.64,0.011,90.2,0.143
Gambia,28/10/2021,9963,2.429,4006.133,0.977,0.64,0.011,93.5,0.143
Gambia,29/10/2021,9965,1.286,4006.937,0.517,0.64,0.006,174.2,0.143
Gambia,30/10/2021,9965,1.286,4006.937,0.517,0.65,0.006,180.4,0.143
Gambia,31/10/2021,9965,1.286,4006.937,0.517,0.65,0.005,186.6,0.143
Gambia,1/11/2021,9967,1.571,4007.741,0.632,0.65,0.007,152.1,0.143
Gambia,2/11/2021,9973,2,4010.154,0.804,0.65,0.008,123.5,0.143
Gambia,3/11/2021,9973,1.429,4010.154,0.574,0.64,0.006,170.7,0.143
Gambia,4/11/2021,9973,1.429,4010.154,0.574,0.64,0.006,168.6,0.143
Georgia,6/10/2021,623830,1794.429,156750.146,450.887,1.2,0.055,18.2,31
Georgia,7/10/2021,626058,1863.714,157309.977,468.297,1.25,0.059,16.9,30.857
Georgia,8/10/2021,628719,1993.714,157978.608,500.962,1.3,0.068,14.8,30.857
Georgia,9/10/2021,631563,2139.143,158693.222,537.504,1.33,0.077,12.9,30.857
Georgia,10/10/2021,634053,2328.571,159318.886,585.102,1.37,0.091,11,29.714
Georgia,11/10/2021,635583,2423.286,159703.33,608.9,1.4,0.102,9.8,28.714
Georgia,12/10/2021,640358,2705.429,160903.147,679.795,1.45,0.081,12.3,28
Georgia,13/10/2021,645195,3052.143,162118.543,766.914,1.45,0.085,11.7,28.286
Georgia,14/10/2021,649407,3335.571,163176.895,838.131,1.42,0.083,12,29.714
Georgia,15/10/2021,652677,3422.571,163998.55,859.992,1.39,0.077,12.9,29.143
Georgia,16/10/2021,657753,3741.429,165273.999,940.111,1.38,0.077,13,31.286
Georgia,17/10/2021,662334,4040.143,166425.07,1015.169,1.35,0.076,13.1,31.714
Georgia,18/10/2021,664813,4175.714,167047.97,1049.234,1.3,0.073,13.7,34.429
Georgia,19/10/2021,670552,4313.429,168490.012,1083.838,1.25,0.086,11.6,34.286
Georgia,20/10/2021,675771,4368,169801.393,1097.55,1.2,0.087,11.4,36.571
Georgia,21/10/2021,680182,4396.429,170909.748,1104.693,1.16,0.088,11.4,35.286
Georgia,22/10/2021,684337,4522.857,171953.777,1136.461,1.12,0.09,11.1,37.286
Georgia,23/10/2021,688804,4435.857,173076.203,1114.601,1.09,0.084,11.9,37
Georgia,24/10/2021,692240,4272.286,173939.569,1073.5,1.06,0.077,13.1,39.143
Georgia,25/10/2021,694182,4195.571,174427.536,1054.224,1.04,0.071,14,39.714
Georgia,26/10/2021,698944,4056,175624.087,1019.154,1.02,0.066,15.2,40.714
Georgia,27/10/2021,703281,3930,176713.848,987.494,1.01,0.061,16.4,40.714
Georgia,28/10/2021,707290,3872.571,177721.192,973.063,1.03,0.057,17.4,43
Georgia,29/10/2021,711255,3845.429,178717.48,966.243,1.04,0.055,18.3,43.429
Georgia,30/10/2021,715865,3865.857,179875.837,971.376,1.06,0.055,18.2,43.429
Georgia,31/10/2021,719247,3858.143,180725.634,969.438,1.07,0.055,18.2,43.286
Georgia,1/11/2021,721388,3886.571,181263.605,976.581,1.09,0.055,18.2,43
Georgia,2/11/2021,726941,3999.571,182658.91,1004.975,1.11,0.055,18.2,43.571
Georgia,3/11/2021,732965,4240.571,184172.565,1065.531,1.13,0.055,18.2,44.571
Georgia,4/11/2021,738171,4411.571,185480.679,1108.498,1.13,0.055,18.2,45.714
Germany,6/10/2021,4284400,7946.571,51065.268,94.714,1.04,0.065,15.4,55.429
Germany,7/10/2021,4295876,8014.714,51202.049,95.526,1.05,0.065,15.4,57.429
Germany,8/10/2021,4305634,8081.857,51318.353,96.327,1.07,0.065,15.4,57.286
Germany,9/10/2021,4312528,8140.714,51400.522,97.028,1.08,0.065,15.4,59.286
Germany,10/10/2021,4318437,8277.571,51470.951,98.659,1.09,0.065,15.4,59.286
Germany,11/10/2021,4323346,8335,51529.46,99.344,1.1,0.065,15.4,60.143
Germany,12/10/2021,4331274,8358.571,51623.953,99.625,1.1,0.065,15.4,61.429
Germany,13/10/2021,4343591,8455.857,51770.758,100.784,1.13,0.065,15.4,53.714
Germany,14/10/2021,4355169,8470.429,51908.755,100.958,1.17,0.065,15.4,59
Germany,15/10/2021,4366833,8742.714,52047.777,104.203,1.2,0.065,15.4,60.429
Germany,16/10/2021,4375253,8960.714,52148.134,106.802,1.23,0.065,15.4,59.429
Germany,17/10/2021,4382019,9083.143,52228.777,108.261,1.25,0.081,12.3,59.857
Germany,18/10/2021,4388581,9319.286,52306.989,111.075,1.28,0.081,12.3,58.857
Germany,19/10/2021,4410921,11378.143,52573.257,135.615,1.3,0.081,12.3,59.857
Germany,20/10/2021,4429723,12304.571,52797.356,146.657,1.31,0.081,12.3,68.429
Germany,21/10/2021,4447231,13151.714,53006.031,156.754,1.31,0.081,12.3,66.429
Germany,22/10/2021,4462324,13641.571,53185.923,162.592,1.3,0.081,12.3,68
Germany,23/10/2021,4466173,12988.571,53231.799,154.809,1.31,0.081,12.3,68.857
Germany,24/10/2021,4476078,13437,53349.855,160.154,1.34,0.109,9.2,69.857
Germany,25/10/2021,4485437,13836.571,53461.404,164.916,1.37,0.109,9.2,61.143
Germany,26/10/2021,4516839,15131.143,53835.681,180.346,1.4,0.109,9.2,79
Germany,27/10/2021,4545665,16563.143,54179.255,197.414,1.41,0.109,9.2,86.143
Germany,28/10/2021,4553744,15216.143,54275.548,181.359,1.4,0.109,9.2,75.286
Germany,29/10/2021,4591264,18420,54722.744,219.546,1.43,0.109,9.2,88.571
Germany,30/10/2021,4608512,20334.143,54928.321,242.36,1.43,0.109,9.2,90
Germany,31/10/2021,4607958,18840,54921.718,224.552,1.44,0.121,8.3,87.714
Germany,1/11/2021,4619273,19119.429,55056.58,227.882,1.44,0.121,8.3,98.571
Germany,2/11/2021,4649964,19017.857,55422.383,226.672,1.44,0.121,8.3,95.143
Germany,3/11/2021,4684462,19828.143,55833.56,236.329,1.44,0.121,8.3,101
Germany,4/11/2021,4722102,24051.143,56282.187,286.663,1.44,0.121,8.3,118.429
Ghana,6/10/2021,128159,163.286,4038.777,5.146,0.82,0.043,23.5,1
Ghana,7/10/2021,128368,126.571,4045.364,3.989,0.82,0.033,30.2,0.286
Ghana,8/10/2021,128368,126.571,4045.364,3.989,0.81,0.032,30.9,0.286
Ghana,9/10/2021,128368,126.571,4045.364,3.989,0.81,0.032,30.8,0.286
Ghana,10/10/2021,128368,126.571,4045.364,3.989,0.8,0.032,31.1,0.286
Ghana,11/10/2021,128368,126.571,4045.364,3.989,0.8,0.032,31.1,0.286
Ghana,12/10/2021,128368,70,4045.364,2.206,0.79,0.018,55.7,0.143
Ghana,13/10/2021,128368,29.857,4045.364,0.941,0.79,0.008,129.4,0.143
Ghana,14/10/2021,128368,0,4045.364,0,0.79,0,129.4,0
Ghana,15/10/2021,128368,0,4045.364,0,0.79,0,129.4,0
Ghana,16/10/2021,129258,127.143,4073.411,4.007,0.79,0.034,29.4,1
Ghana,17/10/2021,129440,153.143,4079.147,4.826,0.79,0.041,24.3,1.286
Ghana,18/10/2021,129440,153.143,4079.147,4.826,0.79,0.041,24.1,1.286
Ghana,19/10/2021,129592,174.857,4083.937,5.51,0.79,0.047,21.2,1.571
Ghana,20/10/2021,129592,174.857,4083.937,5.51,0.79,0.047,21.2,1.571
Ghana,21/10/2021,129592,174.857,4083.937,5.51,0.79,0.047,21.2,1.571
Ghana,22/10/2021,129592,174.857,4083.937,5.51,0.79,0.046,21.7,1.571
Ghana,23/10/2021,129805,78.143,4090.649,2.463,0.8,0.02,49.2,0.714
Ghana,24/10/2021,129805,52.143,4090.649,1.643,0.8,0.014,73,0.429
Ghana,25/10/2021,129948,72.571,4095.156,2.287,0.8,0.019,53.1,0.714
Ghana,26/10/2021,130008,59.429,4097.046,1.873,0.8,0.015,65.5,0.714
Ghana,27/10/2021,130041,64.143,4098.086,2.021,0.8,0.016,61.9,0.714
Ghana,28/10/2021,130077,69.286,4099.221,2.183,0.81,0.017,57.8,0.857
Ghana,29/10/2021,130077,69.286,4099.221,2.183,0.81,0.017,57.3,0.857
Ghana,30/10/2021,130077,38.857,4099.221,1.225,0.81,0.01,101.1,0.714
Ghana,31/10/2021,130077,38.857,4099.221,1.225,0.82,0.01,101.1,0.714
Ghana,1/11/2021,130077,18.429,4099.221,0.581,0.82,0.01,101.1,0.429
Ghana,2/11/2021,130287,39.857,4105.839,1.256,0.83,0.01,101.1,1.143
Ghana,3/11/2021,130287,35.143,4105.839,1.107,0.83,0.01,101.1,1.143
Ghana,4/11/2021,130287,30,4105.839,0.945,0.83,0.01,101.1,1
Greece,6/10/2021,668811,2182.286,64490.147,210.427,1.04,0.011,87.6,31
Greece,7/10/2021,671040,2181.857,64705.079,210.386,1.05,0.011,87.5,30.571
Greece,8/10/2021,673317,2135.571,64924.639,205.923,1.05,0.011,89.6,29.857
Greece,9/10/2021,675479,2187.571,65133.11,210.937,1.06,0.012,85.3,30.857
Greece,10/10/2021,676799,2213,65260.391,213.389,1.07,0.012,84.3,30.714
Greece,11/10/2021,679157,2246.286,65487.761,216.598,1.08,0.012,82.9,31.571
Greece,12/10/2021,682394,2268.143,65799.889,218.706,1.09,0.012,82.1,31.286
Greece,13/10/2021,684706,2270.714,66022.824,218.954,1.1,0.012,81.8,32.714
Greece,14/10/2021,687278,2319.714,66270.829,223.679,1.11,0.012,80.3,35.286
Greece,15/10/2021,689896,2368.429,66523.27,228.376,1.12,0.013,75,35.429
Greece,16/10/2021,692197,2388.286,66745.144,230.291,1.13,0.014,73,34.714
Greece,17/10/2021,693886,2441,66908.006,235.374,1.14,0.014,70.9,34.286
Greece,18/10/2021,697033,2553.714,67211.455,246.242,1.15,0.014,71.6,34.429
Greece,19/10/2021,700959,2652.143,67590.02,255.733,1.16,0.014,69.3,33.857
Greece,20/10/2021,704211,2786.429,67903.595,268.682,1.17,0.015,66.6,34.857
Greece,21/10/2021,707587,2901.286,68229.126,279.757,1.18,0.015,64.7,32.857
Greece,22/10/2021,711128,3033.143,68570.567,292.471,1.19,0.015,65.1,34
Greece,23/10/2021,714283,3155.143,68874.788,304.235,1.19,0.015,65.7,35.714
Greece,24/10/2021,716358,3210.286,69074.87,309.552,1.2,0.015,64.9,36.143
Greece,25/10/2021,720295,3323.143,69454.495,320.434,1.21,0.017,59.9,37.714
Greece,26/10/2021,724571,3373.143,69866.809,325.256,1.21,0.017,59.4,37.143
Greece,27/10/2021,728210,3428.429,70217.7,330.586,1.22,0.017,58,40.714
Greece,28/10/2021,731167,3368.571,70502.829,324.815,1.23,0.017,60.2,40.286
Greece,29/10/2021,734778,3378.571,70851.02,325.779,1.24,0.019,53.7,43
Greece,30/10/2021,739448,3595,71301.325,346.648,1.26,0.02,50.8,42.286
Greece,31/10/2021,742170,3687.429,71563.794,355.561,1.28,0.019,52.2,44.286
Greece,1/11/2021,747595,3900,72086.9,376.058,1.29,0.02,49.5,44
Greece,2/11/2021,754451,4268.571,72747.99,411.597,1.3,0.022,46.4,49
Greece,3/11/2021,760592,4626,73340.136,446.062,1.31,0.023,44,48.429
Greece,4/11/2021,767376,5172.714,73994.284,498.779,1.31,0.025,39.6,50
Guatemala,6/10/2021,572103,2122.714,31348.336,116.314,0.84,0.169,5.9,46.571
Guatemala,7/10/2021,574713,2056.857,31491.351,112.705,0.83,0.167,6,48.286
Guatemala,8/10/2021,576818,1937.286,31606.694,106.153,0.82,0.155,6.5,44.714
Guatemala,9/10/2021,578809,1891.857,31715.791,103.664,0.82,0.146,6.9,40.857
Guatemala,10/10/2021,579489,1891.286,31753.052,103.633,0.81,0.144,7,42.429
Guatemala,11/10/2021,579774,1876.857,31768.668,102.842,0.81,0.142,7,45.143
Guatemala,12/10/2021,581498,1722.571,31863.135,94.388,0.8,0.133,7.5,46.286
Guatemala,13/10/2021,583201,1585.429,31956.45,86.873,0.79,0.126,7.9,46.571
Guatemala,14/10/2021,584613,1414.286,32033.821,77.496,0.79,0.113,8.8,43.143
Guatemala,15/10/2021,586318,1357.143,32127.246,74.365,0.79,0.109,9.2,42.571
Guatemala,16/10/2021,587687,1268.286,32202.26,69.496,0.79,0.104,9.6,40
