location,total_cases,new_cases,new_cases_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,reproduction_rate,new_vaccinations_smoothed_per_million,population_density,median_age,aged_65_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,life_expectancy,human_development_index,new_deaths_smoothed
Netherlands,2217816,10963,8858,129144.812,638.382,515.807,1.36,1221,508.544,43.2,18.779,48472.545,109.361,5.29,82.28,0.944,19.286
North Macedonia,205022,606,473.429,98442.329,290.974,227.319,1.18,1435,82.6,39.1,13.26,13111.214,322.688,10.08,75.8,0.774,13.714
Pakistan,1276240,567,556.429,5667.142,2.518,2.471,0.87,4247,255.573,23.5,4.495,5034.708,423.031,8.35,67.27,0.557,11.286
Palestine,455099,300,300.286,87137.71,57.441,57.496,0.65,2082,778.202,20.4,3.043,4449.898,265.91,10.59,74.05,0.708,6
Papua New Guinea,31287,277,311.286,3430.966,30.376,34.136,1.02,393,18.22,22.6,3.808,3823.194,561.494,17.65,64.5,0.555,5.571
Peru,2205486,1062,801.429,66112.85,31.835,24.024,1.04,6296,25.129,29.1,7.151,12236.706,85.755,5.95,76.74,0.777,25.143
Poland,3076518,15905,9746.286,81395.825,420.801,257.859,1.54,1427,124.027,41.8,16.763,27216.445,227.331,5.91,78.73,0.88,96
Portugal,1095337,1289,908.571,107724.754,126.771,89.357,1.25,381,112.371,46.2,21.502,27936.896,127.842,9.85,82.05,0.864,5.714
Serbia,1174333,5725,6073.429,170897.907,833.146,883.852,0.88,3613,80.291,41.2,17.366,14048.881,439.415,10.08,76,0.806,63.571
Singapore,212745,1767,2949.429,39010.012,324.006,540.822,0.87,191,7915.731,42.4,12.922,85535.383,92.243,10.99,83.62,0.938,12.571
Slovakia,931129,8726,6276,170513.774,1597.956,1149.298,1.34,502,113.128,41.2,15.07,30155.152,287.959,7.29,77.54,0.86,23.714
Slovenia,349996,3776,2684.286,168370.678,1816.5,1291.315,1.32,839,102.619,44.5,19.062,31400.84,153.493,7.25,81.32,0.917,10.857
South Africa,2923393,339,257.714,48689.138,5.646,4.292,0.78,1992,46.754,27.3,5.344,12294.876,200.38,5.52,64.13,0.709,20.571
South Korea,377712,2248,2153.286,7362.063,43.816,41.97,1.1,4359,527.967,43.4,13.914,35938.374,85.998,6.8,83.03,0.916,18
Spain,5025639,3093,2070.143,107511.313,66.167,44.286,1.3,2203,93.105,45.5,19.436,34272.36,99.403,7.17,83.56,0.904,19.429
Sri Lanka,544013,628,656.714,25306.101,29.213,30.549,0.96,3788,341.955,34.1,10.069,11669.077,197.093,10.68,76.98,0.782,16.429
Switzerland,887446,2849,2126.857,101823.947,326.889,244.032,1.46,1245,214.243,43.1,18.436,57410.166,99.739,5.59,83.78,0.955,5.714
Thailand,1960039,8467,9442.571,28020.234,121.042,134.989,0.91,10138,135.132,40.1,11.373,16277.671,109.861,7.04,77.15,0.777,77.286
Trinidad and Tobago,58581,140,250,41742.971,99.76,178.142,1.19,1773,266.886,36.2,10.014,28763.071,228.467,10.97,73.51,0.796,11.286
United Kingdom,9286618,33972,37845.286,136153.217,498.071,554.858,0.86,5251,272.898,40.8,18.517,39753.244,122.137,4.28,81.32,0.932,172
Venezuela,411574,926,1026.714,14338.086,32.259,35.768,0.97,8746,36.253,29,6.614,16745.022,204.85,6.47,72.06,0.711,12.286
Vietnam,953547,7504,6167.286,9713.338,76.44,62.823,1.23,10829,308.127,32.6,7.15,6171.884,245.465,6,75.4,0.704,63.714
